Idopont;AdasDb;Nev
513;2;Tomi
513;3;Laci
514;3;Józsi
519;2;Gyuri
523;1;Tomi
524;3;Zoli
524;2;Csabi
525;3;Zoli
526;1;Bandi
526;3;Gabi
527;3;Imi
528;3;Zsolti
530;2;Józsi
530;4;Bandi
534;4;Zsolti
543;1;Bandi
544;2;Bandi
545;3;Lali
546;2;Feri
546;1;Józsi
546;1;Zsombor
547;4;Lali
550;3;Zoli
551;4;Gyuri
551;3;Imi
553;2;Imi
556;2;Zsombor
557;1;Józsi
560;2;Peti
561;1;Laci
562;3;Gyuri
567;3;Feri
568;1;Lali
568;4;Feri
569;1;Gabi
570;2;Zoli
571;2;Lali
572;4;Gyuszi
574;1;Gabi
574;2;Pityu
576;4;Gabi
578;4;Józsi
579;2;Józsi
584;1;Gabi
586;2;Sanyi
586;3;Bandi
588;1;Feri
588;3;Imi
589;1;Peti
593;2;Csabi
593;1;Sanyi
595;1;Lali
595;2;Sanyi
595;1;Lali
595;4;Sanyi
596;3;Feri
597;2;Bandi
598;4;Zsombor
598;2;Bandi
599;2;Tomi
602;3;Feri
602;4;Gyuri
602;2;Tomi
603;1;Tomi
604;1;Jani
606;4;Peti
606;3;Gabi
606;3;Tibi
606;4;Peti
607;2;Józsi
607;3;Gyuszi
608;1;Jani
608;2;Sanyi
608;2;Zsolti
611;4;Zsolti
612;2;Gyuszi
613;1;Peti
613;2;Sanyi
613;2;Zsombor
614;2;Sanyi
615;1;Zoli
616;2;Tomi
618;3;Gyuszi
618;3;Csabi
619;3;Csabi
621;1;Csabi
622;1;Csabi
624;2;Peti
625;4;Sanyi
626;2;Pityu
626;3;Zsolti
626;1;Gabi
632;4;Gabi
632;2;Zsolti
633;3;Gabi
633;2;Tibi
633;3;Feri
633;2;Csabi
634;3;Laci
634;2;Gyuri
639;3;Laci
639;1;Sanyi
641;2;Zsolti
641;1;Csabi
641;2;Zsombor
641;3;Lali
642;4;Zoli
644;3;Sanyi
645;4;Jani
645;2;Gyuszi
646;4;Zsombor
651;4;Peti
651;2;Imi
652;3;Gabi
653;2;Imi
653;2;Gabi
655;3;Pityu
658;1;Csabi
658;1;Gabi
663;1;Sanyi
663;2;Józsi
665;3;Lali
666;4;Tomi
666;4;Lali
670;2;Feri
670;2;Tibi
670;1;Laci
670;2;Peti
671;4;Lali
673;2;Tomi
675;3;Tomi
675;4;Sanyi
677;3;Csabi
678;2;Imi
678;3;Tomi
679;1;Zoli
680;1;Sanyi
680;4;Gyuri
683;1;Feri
683;3;Zoli
684;4;Laci
684;3;Peti
685;3;Bandi
685;4;Zsombor
685;2;Zoli
687;1;Jani
687;3;Csabi
688;1;Tomi
688;2;Pityu
694;3;Lali
695;1;Jani
697;2;Sanyi
697;1;Laci
698;4;Csabi
702;2;Sanyi
706;1;Feri
706;1;Jani
707;2;Sanyi
708;3;Zsolti
711;2;Tibi
711;4;Gabi
714;2;Pityu
716;3;Sanyi
717;1;Gyuszi
717;1;Lali
717;1;Gyuri
717;4;Sanyi
718;2;Tibi
718;2;Csabi
722;3;Zoli
723;3;Csabi
724;2;Pityu
725;2;Józsi
727;2;Csabi
727;1;Zsolti
728;1;Imi
732;3;Gyuszi
732;3;Lali
733;4;Gabi
733;3;Pityu
733;3;Tomi
733;1;Laci
734;2;Tibi
734;4;Gyuri
737;2;Gabi
737;4;Feri
738;3;Zoli
738;1;Zsombor
739;2;Gyuri
745;1;Gyuri
745;4;Zoli
749;2;Gyuszi
750;3;Tomi
750;4;Laci
751;3;Imi
752;3;Feri
754;1;Lali
754;1;Zoli
755;1;Tibi
756;4;Imi
757;2;Feri
757;2;Jani
759;1;Lali
760;3;Tomi
760;1;Tomi
761;4;Jani
761;3;Lali
762;1;Sanyi
765;2;Csabi
768;1;Zoli
768;4;Józsi
772;2;Imi
773;1;Tomi
776;2;Lali
778;2;Bandi
779;2;Laci
781;4;Jani
781;1;Gabi
781;3;Lali
784;2;Sanyi
785;4;Feri
785;1;Peti
790;2;Gyuri
791;3;Sanyi
795;1;Tomi
795;1;Feri
797;1;Bandi
799;1;Zoli
800;4;Csabi
801;1;Gyuszi
802;3;Zoli
803;1;Bandi
803;3;Bandi
804;3;Tibi
804;2;Jani
806;3;Gabi
806;4;Gyuszi
807;2;Zsombor
807;3;Imi
813;4;Gabi
813;1;Feri
813;3;Zsolti
814;2;Pityu
814;1;Lali
815;3;Gabi
817;1;Zsombor
818;3;Bandi
824;3;Jani
827;2;Peti
835;2;Tibi
835;3;Csabi
837;1;Gyuri
